@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.647,0.957,1,-0.384,0,0.0819,0.169,0.0,0.234,0.764,114.968,220560,4,0
0.392,0.894,2,-1.399,1,0.0459,0.351,0.0,0.349,0.644,185.869,218880,4,0
0.659,0.821,9,-2.215,0,0.0468,0.406,0.0,0.114,0.353,161.983,191640,4,0
0.438,0.632,7,-4.447,0,0.0417,0.434,0.0,0.214,0.386,61.45,213053,4,0
0.724,0.904,0,-3.815,1,0.0872,0.0419,4.79e-06,0.163,0.728,130.036,209575,4,0
0.625,0.903,4,-2.519,1,0.0594,0.006,0.0,0.235,0.825,145.97,179156,4,0
0.702,0.692,10,-5.405,1,0.0539,0.0542,0.0,0.0877,0.419,144.896,204168,4,0
0.726,0.963,9,-1.111,0,0.0916,0.0429,0.00157,0.128,0.769,126.062,222853,4,0
0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,205493,4,0
0.71,0.82,3,-4.362,0,0.0836,0.00962,0.0,0.0871,0.746,112.005,209105,4,0
0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,191242,4,0
0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,167922,4,0
0.732,0.795,8,-2.263,1,0.1,0.0632,0.0,0.0569,0.693,100.954,229400,4,0
0.776,0.911,2,-3.08,0,0.131,0.155,2.59e-06,0.268,0.56,101.027,177728,4,0
0.739,0.841,5,-4.162,1,0.06,0.0312,0.0,0.173,0.562,106.99,199653,4,0
0.743,0.924,1,-1.501,0,0.0642,0.0688,0.0,0.112,0.702,107.995,213667,4,0
0.631,0.748,4,-2.569,0,0.0488,0.212,0.0,0.537,0.351,115.665,178413,4,0
0.684,0.877,3,-2.322,0,0.0611,0.0477,0.0,0.344,0.599,134.98,182680,4,0
0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,178453,4,0
0.855,0.87,10,-2.059,0,0.0826,0.0122,0.000675,0.0202,0.863,103.028,158253,4,0
0.812,0.876,11,-1.456,0,0.0716,0.0145,0.000522,0.119,0.679,89.992,190067,4,0
0.747,0.736,5,-4.636,0,0.0544,0.00158,3.3e-05,0.214,0.703,120.03,186076,4,0
0.816,0.636,10,-6.95,0,0.101,0.0732,2.81e-05,0.118,0.499,100.923,212807,4,0
0.693,0.586,5,-6.098,0,0.0315,0.233,0.0,0.145,0.459,82.039,263680,4,0
0.757,0.775,10,-3.442,0,0.121,0.0305,0.0,0.0999,0.713,140.97,229000,4,0
0.436,0.965,0,-3.728,1,0.0616,8.7e-05,0.0,0.368,0.484,142.028,217213,4,0
